USERPROFILE_HISTORY_ID,USERPROFILE_ID,ACCESSCATALYST,OLD_VALUE,NEW_VALUE,MODIFIED,REASON,MODIFIEDBY,CHANGED_BY,CHANGED_DATE,CHANGED_BY_DEPUTY,CHANGE_TYPE,VALID_FROM,APPROVED_BY,RECORD_NUMBER,VALID_TO,IS_TIMELINE,APPROVED_ON,REASON_FOR_CHANGE_IN_VALUE,CHANGED_BY_ROLE,PRIMARY_RECORD,APPROVED_BY_DEPUTY,CHANGE_FROM_COMMON_TYPE,CHANGE_FROM_PROCESS_ID,INTEGRATION_ID,INTEGRATION_VERSION,INTEGRATION_TYPE,INTEGRATION_MODE
11,1,5,Excel,Python,2023-09-25 13:03:59,Profile value updated from 'Excel' to 'Python' for role alignment.,lopezgarrett,151,2023-09-25 13:03:59,866,5,2023-07-18,284,11,2024-01-04,0,2023-10-03 13:03:59,Profile value updated from 'Excel' to 'Python' for role alignment.,9,298,509,4,60,0,0,0,0
12,1,6,Running,Hiking,2024-01-28 13:04:00,Profile value updated from 'Running' to 'Hiking' for role alignment.,james68,72,2024-01-28 13:04:00,936,5,2023-10-20,189,12,2024-05-22,1,2024-02-20 13:04:00,Profile value updated from 'Running' to 'Hiking' for role alignment.,7,399,445,9,85,0,0,0,0
13,1,6,Hiking,Photography,2023-08-15 13:04:01,Profile value updated from 'Hiking' to 'Photography' for role alignment.,vnelson,8,2023-08-15 13:04:01,211,1,2023-07-16,619,13,2023-11-16,0,2023-08-19 13:04:01,Profile value updated from 'Hiking' to 'Photography' for role alignment.,6,330,491,7,42,0,0,0,0
14,1,6,PMP,Scrum Master,2023-12-07 13:04:01,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,kevin34,33,2023-12-07 13:04:01,359,3,2023-11-06,848,14,2024-03-21,1,2023-12-22 13:04:01,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,2,448,239,6,13,0,0,0,0
15,1,8,SQL,Python,2023-09-02 13:04:02,Profile value updated from 'SQL' to 'Python' for role alignment.,amanda83,601,2023-09-02 13:04:02,116,2,2023-07-29,119,15,2023-12-20,1,2023-09-21 13:04:02,Profile value updated from 'SQL' to 'Python' for role alignment.,1,22,161,4,23,0,0,0,0
16,1,12,Scrum Master,PMP,2022-12-24 13:04:03,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,martinezjacqueline,160,2022-12-24 13:04:03,379,1,2022-11-27,180,16,2023-03-17,1,2023-01-13 13:04:03,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,9,194,938,10,90,0,0,0,0
17,1,12,PMP,Azure Fundamentals,2024-03-13 13:04:04,Profile value updated from 'PMP' to 'Azure Fundamentals' for role alignment.,tpeterson,689,2024-03-13 13:04:04,813,1,2023-12-06,817,17,2024-09-02,1,2024-04-09 13:04:04,Profile value updated from 'PMP' to 'Azure Fundamentals' for role alignment.,5,757,725,9,32,0,0,0,0
18,1,12,Hiking,Cycling,2023-05-01 13:04:05,Profile value updated from 'Hiking' to 'Cycling' for role alignment.,ginaolson,523,2023-05-01 13:04:05,755,1,2023-02-02,109,18,2023-10-20,0,2023-05-27 13:04:05,Profile value updated from 'Hiking' to 'Cycling' for role alignment.,7,506,556,10,15,0,0,0,0
19,1,16,Scrum Master,PMP,2023-02-15 13:04:06,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,morganmichael,578,2023-02-15 13:04:06,694,3,2022-12-18,303,19,2023-06-10,0,2023-03-16 13:04:06,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,7,319,675,2,20,0,0,0,0
20,1,16,Photography,Hiking,2023-12-01 13:04:07,Profile value updated from 'Photography' to 'Hiking' for role alignment.,johnsondawn,101,2023-12-01 13:04:07,973,1,2023-09-06,43,20,2024-01-24,1,2023-12-06 13:04:07,Profile value updated from 'Photography' to 'Hiking' for role alignment.,3,211,995,4,53,0,0,0,0
21,1,17,Hiking,Photography,2024-03-03 13:04:08,Profile value updated from 'Hiking' to 'Photography' for role alignment.,stephaniedavis,473,2024-03-03 13:04:08,812,3,2024-01-26,319,21,2024-06-01,0,2024-03-20 13:04:08,Profile value updated from 'Hiking' to 'Photography' for role alignment.,1,246,285,6,63,0,0,0,0
22,1,17,Photography,Running,2023-06-19 13:04:09,Profile value updated from 'Photography' to 'Running' for role alignment.,khicks,25,2023-06-19 13:04:09,114,4,2023-05-21,433,22,2023-08-02,1,2023-07-14 13:04:09,Profile value updated from 'Photography' to 'Running' for role alignment.,9,616,86,7,87,0,0,0,0
23,1,19,Photography,Hiking,2024-04-20 13:04:09,Profile value updated from 'Photography' to 'Hiking' for role alignment.,john32,815,2024-04-20 13:04:09,165,2,2024-01-22,167,23,2024-08-07,0,2024-05-04 13:04:09,Profile value updated from 'Photography' to 'Hiking' for role alignment.,7,534,209,6,25,0,0,0,0
24,1,19,PMP,Scrum Master,2022-12-03 13:04:10,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,moorematthew,911,2022-12-03 13:04:10,312,4,2022-11-13,554,24,2023-05-10,1,2022-12-21 13:04:10,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,3,895,810,5,47,0,0,0,0
25,1,23,Cycling,Hiking,2023-02-12 13:04:11,Profile value updated from 'Cycling' to 'Hiking' for role alignment.,moorebenjamin,210,2023-02-12 13:04:11,122,5,2022-12-30,753,25,2023-03-19,0,2023-02-24 13:04:11,Profile value updated from 'Cycling' to 'Hiking' for role alignment.,1,725,389,8,58,0,0,0,0
26,1,23,PMP,Azure Fundamentals,2024-05-07 13:04:12,Profile value updated from 'PMP' to 'Azure Fundamentals' for role alignment.,kylethompson,811,2024-05-07 13:04:12,219,4,2024-02-16,861,26,2024-09-23,0,2024-06-01 13:04:12,Profile value updated from 'PMP' to 'Azure Fundamentals' for role alignment.,6,193,805,8,12,0,0,0,0
27,1,23,Azure Fundamentals,PMP,2023-04-23 13:04:12,Profile value updated from 'Azure Fundamentals' to 'PMP' for role alignment.,kleinrobert,394,2023-04-23 13:04:12,656,1,2023-02-25,132,27,2023-07-27,0,2023-04-28 13:04:12,Profile value updated from 'Azure Fundamentals' to 'PMP' for role alignment.,1,43,623,6,10,0,0,0,0
28,1,24,Hiking,Photography,2023-01-06 13:04:13,Profile value updated from 'Hiking' to 'Photography' for role alignment.,richardramsey,570,2023-01-06 13:04:13,912,5,2022-12-04,243,28,2023-06-23,1,2023-02-02 13:04:13,Profile value updated from 'Hiking' to 'Photography' for role alignment.,1,417,103,10,9,0,0,0,0
29,1,24,Java,Excel,2023-02-08 13:04:14,Profile value updated from 'Java' to 'Excel' for role alignment.,eric57,328,2023-02-08 13:04:14,457,3,2023-01-07,805,29,2023-05-11,0,2023-02-13 13:04:14,Profile value updated from 'Java' to 'Excel' for role alignment.,6,273,164,8,73,0,0,0,0
30,1,24,Scrum Master,PMP,2023-01-01 13:04:14,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,travis48,262,2023-01-01 13:04:14,54,2,2022-11-13,177,30,2023-05-15,1,2023-01-24 13:04:14,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,9,908,481,2,15,0,0,0,0
31,1,26,Excel,Power BI,2023-01-19 13:04:15,Profile value updated from 'Excel' to 'Power BI' for role alignment.,amandabanks,655,2023-01-19 13:04:15,786,1,2022-11-15,527,31,2023-03-17,0,2023-02-15 13:04:15,Profile value updated from 'Excel' to 'Power BI' for role alignment.,9,632,32,9,58,0,0,0,0
32,1,26,Java,Excel,2024-01-12 13:04:16,Profile value updated from 'Java' to 'Excel' for role alignment.,stacylynn,489,2024-01-12 13:04:16,621,2,2023-12-13,711,32,2024-05-23,1,2024-01-16 13:04:16,Profile value updated from 'Java' to 'Excel' for role alignment.,6,450,482,10,25,0,0,0,0
33,1,27,AWS Certified,Azure Fundamentals,2023-02-18 13:04:17,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,frobinson,205,2023-02-18 13:04:17,491,5,2023-01-22,654,33,2023-05-15,1,2023-02-22 13:04:17,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,6,884,239,3,62,0,0,0,0
34,1,27,AWS Certified,Azure Fundamentals,2024-02-22 13:04:18,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,tjohnson,600,2024-02-22 13:04:18,703,3,2023-11-25,120,34,2024-07-14,1,2024-03-21 13:04:18,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,8,98,668,10,34,0,0,0,0
35,1,28,Python,SQL,2022-12-03 13:04:18,Profile value updated from 'Python' to 'SQL' for role alignment.,brandonwilson,733,2022-12-03 13:04:18,875,5,2022-11-16,938,35,2023-02-25,1,2022-12-19 13:04:18,Profile value updated from 'Python' to 'SQL' for role alignment.,10,1000,20,1,57,0,0,0,0
36,1,28,Scrum Master,PMP,2023-03-20 13:04:19,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,wharrison,280,2023-03-20 13:04:19,626,3,2023-01-26,505,36,2023-08-06,0,2023-04-04 13:04:19,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,10,415,320,2,66,0,0,0,0
37,1,29,SQL,Excel,2023-11-10 13:04:20,Profile value updated from 'SQL' to 'Excel' for role alignment.,ndodson,637,2023-11-10 13:04:20,136,3,2023-10-06,841,37,2024-04-03,0,2023-11-20 13:04:20,Profile value updated from 'SQL' to 'Excel' for role alignment.,1,612,763,8,83,0,0,0,0
38,1,30,Hiking,Cycling,2023-03-10 13:04:21,Profile value updated from 'Hiking' to 'Cycling' for role alignment.,taylormaria,538,2023-03-10 13:04:21,553,4,2023-02-08,944,38,2023-07-09,0,2023-03-22 13:04:21,Profile value updated from 'Hiking' to 'Cycling' for role alignment.,5,958,392,1,62,0,0,0,0
39,1,30,Excel,Power BI,2024-03-07 13:04:22,Profile value updated from 'Excel' to 'Power BI' for role alignment.,dthompson,536,2024-03-07 13:04:22,876,3,2023-12-30,780,39,2024-07-15,0,2024-03-17 13:04:22,Profile value updated from 'Excel' to 'Power BI' for role alignment.,1,324,381,1,70,0,0,0,0
40,1,31,PMP,AWS Certified,2024-02-25 13:04:22,Profile value updated from 'PMP' to 'AWS Certified' for role alignment.,morrisonlori,136,2024-02-25 13:04:22,21,3,2023-12-05,937,40,2024-07-04,1,2024-03-22 13:04:22,Profile value updated from 'PMP' to 'AWS Certified' for role alignment.,10,778,36,8,10,0,0,0,0
41,1,31,Python,Excel,2023-09-11 13:04:23,Profile value updated from 'Python' to 'Excel' for role alignment.,erikwilliams,466,2023-09-11 13:04:23,570,3,2023-07-20,802,41,2023-12-16,1,2023-09-30 13:04:23,Profile value updated from 'Python' to 'Excel' for role alignment.,6,971,211,9,75,0,0,0,0
42,1,33,Excel,Python,2023-02-12 13:04:24,Profile value updated from 'Excel' to 'Python' for role alignment.,ethanparker,940,2023-02-12 13:04:24,914,1,2022-12-30,147,42,2023-07-27,0,2023-02-21 13:04:24,Profile value updated from 'Excel' to 'Python' for role alignment.,2,632,631,4,23,0,0,0,0
43,1,33,Excel,Java,2023-07-15 13:04:25,Profile value updated from 'Excel' to 'Java' for role alignment.,toddmoses,803,2023-07-15 13:04:25,307,1,2023-05-04,890,43,2024-01-09,1,2023-07-30 13:04:25,Profile value updated from 'Excel' to 'Java' for role alignment.,4,648,679,2,41,0,0,0,0
44,1,33,Power BI,Excel,2022-11-30 13:04:25,Profile value updated from 'Power BI' to 'Excel' for role alignment.,woodarddaniel,223,2022-11-30 13:04:25,582,4,2022-11-10,437,44,2023-03-11,1,2022-12-23 13:04:25,Profile value updated from 'Power BI' to 'Excel' for role alignment.,7,238,739,2,56,0,0,0,0
45,1,35,PMP,Scrum Master,2024-01-14 13:04:26,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,urodriguez,505,2024-01-14 13:04:26,279,4,2023-11-25,676,45,2024-05-05,0,2024-01-15 13:04:26,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,7,153,384,7,18,0,0,0,0
46,1,35,SQL,Power BI,2023-07-07 13:04:27,Profile value updated from 'SQL' to 'Power BI' for role alignment.,sarahwilson,26,2023-07-07 13:04:27,255,4,2023-05-04,341,46,2023-09-20,0,2023-07-30 13:04:27,Profile value updated from 'SQL' to 'Power BI' for role alignment.,9,878,350,4,21,0,0,0,0
47,1,38,Python,SQL,2022-12-16 13:04:28,Profile value updated from 'Python' to 'SQL' for role alignment.,colemanrachel,716,2022-12-16 13:04:28,166,5,2022-10-13,901,47,2023-04-16,1,2022-12-21 13:04:28,Profile value updated from 'Python' to 'SQL' for role alignment.,4,239,371,5,76,0,0,0,0
48,1,38,AWS Certified,Azure Fundamentals,2023-02-14 13:04:29,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,kempmary,22,2023-02-14 13:04:29,35,1,2022-11-26,953,48,2023-03-17,1,2023-02-23 13:04:29,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,8,591,125,4,24,0,0,0,0
49,1,39,Scrum Master,Azure Fundamentals,2022-12-19 13:04:30,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,lesliebrown,879,2022-12-19 13:04:30,475,4,2022-12-02,377,49,2023-01-22,0,2022-12-21 13:04:30,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,8,439,832,9,53,0,0,0,0
50,1,39,Python,Power BI,2023-05-30 13:04:31,Profile value updated from 'Python' to 'Power BI' for role alignment.,xthompson,65,2023-05-30 13:04:31,446,5,2023-03-23,351,50,2023-08-04,1,2023-06-15 13:04:31,Profile value updated from 'Python' to 'Power BI' for role alignment.,3,224,435,7,20,0,0,0,0
51,1,40,AWS Certified,Azure Fundamentals,2024-02-10 13:04:32,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,christopher78,769,2024-02-10 13:04:32,348,5,2024-01-15,492,51,2024-07-01,1,2024-03-11 13:04:32,Profile value updated from 'AWS Certified' to 'Azure Fundamentals' for role alignment.,5,889,61,7,91,0,0,0,0
52,1,40,Scrum Master,PMP,2023-06-01 13:04:32,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,christianbutler,470,2023-06-01 13:04:32,422,4,2023-04-20,645,52,2023-10-18,0,2023-06-12 13:04:32,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,1,705,850,7,10,0,0,0,0
53,1,42,Scrum Master,Azure Fundamentals,2023-07-28 13:04:33,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,angela63,116,2023-07-28 13:04:33,435,2,2023-04-27,415,53,2023-09-26,0,2023-08-06 13:04:33,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,9,845,255,9,17,0,0,0,0
54,1,42,Cycling,Running,2023-03-02 13:04:34,Profile value updated from 'Cycling' to 'Running' for role alignment.,aperez,455,2023-03-02 13:04:34,942,3,2022-11-28,920,54,2023-06-15,0,2023-03-07 13:04:34,Profile value updated from 'Cycling' to 'Running' for role alignment.,2,388,83,1,17,0,0,0,0
55,1,43,Azure Fundamentals,AWS Certified,2023-02-20 13:04:35,Profile value updated from 'Azure Fundamentals' to 'AWS Certified' for role alignment.,hernandezmanuel,234,2023-02-20 13:04:35,177,3,2022-12-10,861,55,2023-03-23,1,2023-02-23 13:04:35,Profile value updated from 'Azure Fundamentals' to 'AWS Certified' for role alignment.,4,727,65,3,37,0,0,0,0
56,1,43,Photography,Cycling,2024-02-16 13:04:36,Profile value updated from 'Photography' to 'Cycling' for role alignment.,kelly57,749,2024-02-16 13:04:36,168,3,2023-11-30,335,56,2024-03-29,0,2024-02-22 13:04:36,Profile value updated from 'Photography' to 'Cycling' for role alignment.,6,878,629,4,10,0,0,0,0
57,1,43,Hiking,Running,2023-06-11 13:04:37,Profile value updated from 'Hiking' to 'Running' for role alignment.,derrick72,374,2023-06-11 13:04:37,275,5,2023-03-25,617,57,2023-08-25,0,2023-07-06 13:04:37,Profile value updated from 'Hiking' to 'Running' for role alignment.,1,304,235,1,82,0,0,0,0
58,1,44,Cycling,Photography,2024-02-23 13:04:38,Profile value updated from 'Cycling' to 'Photography' for role alignment.,andreadavis,172,2024-02-23 13:04:38,260,5,2023-12-12,381,58,2024-08-05,1,2024-03-09 13:04:38,Profile value updated from 'Cycling' to 'Photography' for role alignment.,1,550,711,2,52,0,0,0,0
59,1,47,Hiking,Running,2024-05-23 13:04:38,Profile value updated from 'Hiking' to 'Running' for role alignment.,osmith,470,2024-05-23 13:04:38,239,5,2024-02-15,404,59,2024-09-13,0,2024-06-02 13:04:38,Profile value updated from 'Hiking' to 'Running' for role alignment.,8,962,16,4,89,0,0,0,0
60,1,47,Python,Power BI,2022-11-23 13:04:39,Profile value updated from 'Python' to 'Power BI' for role alignment.,williamsanthony,476,2022-11-23 13:04:39,98,3,2022-10-27,906,60,2023-02-28,1,2022-12-12 13:04:39,Profile value updated from 'Python' to 'Power BI' for role alignment.,7,888,988,8,62,0,0,0,0
61,1,47,PMP,Scrum Master,2023-01-18 13:04:40,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,henryjacqueline,590,2023-01-18 13:04:40,691,3,2022-12-01,231,61,2023-03-01,1,2023-02-09 13:04:40,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,4,387,511,9,39,0,0,0,0
62,1,48,Java,Python,2023-12-25 13:04:41,Profile value updated from 'Java' to 'Python' for role alignment.,watkinsdennis,139,2023-12-25 13:04:41,370,3,2023-10-28,200,62,2024-06-12,0,2024-01-21 13:04:41,Profile value updated from 'Java' to 'Python' for role alignment.,8,30,176,5,55,0,0,0,0
63,1,48,SQL,Excel,2023-09-11 13:04:42,Profile value updated from 'SQL' to 'Excel' for role alignment.,shane95,229,2023-09-11 13:04:42,563,2,2023-06-24,760,63,2023-12-13,0,2023-09-20 13:04:42,Profile value updated from 'SQL' to 'Excel' for role alignment.,2,690,95,9,79,0,0,0,0
64,1,49,Power BI,Excel,2023-11-03 13:04:43,Profile value updated from 'Power BI' to 'Excel' for role alignment.,marymorris,207,2023-11-03 13:04:43,30,5,2023-10-16,682,64,2024-03-20,1,2023-11-13 13:04:43,Profile value updated from 'Power BI' to 'Excel' for role alignment.,2,983,671,2,1,0,0,0,0
65,1,49,Photography,Cycling,2023-10-17 13:04:44,Profile value updated from 'Photography' to 'Cycling' for role alignment.,rachel30,789,2023-10-17 13:04:44,218,5,2023-08-19,884,65,2023-12-08,0,2023-10-26 13:04:44,Profile value updated from 'Photography' to 'Cycling' for role alignment.,1,348,655,7,16,0,0,0,0
66,1,49,Scrum Master,Azure Fundamentals,2022-12-14 13:04:44,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,clairemejia,236,2022-12-14 13:04:44,302,3,2022-10-15,213,66,2023-02-04,1,2022-12-28 13:04:44,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,10,208,835,8,48,0,0,0,0
67,1,50,Python,Java,2023-02-13 13:04:45,Profile value updated from 'Python' to 'Java' for role alignment.,porozco,902,2023-02-13 13:04:45,55,5,2022-12-18,413,67,2023-06-03,0,2023-03-04 13:04:45,Profile value updated from 'Python' to 'Java' for role alignment.,8,17,106,2,92,0,0,0,0
68,1,51,Photography,Running,2022-11-13 13:04:46,Profile value updated from 'Photography' to 'Running' for role alignment.,nicholasperez,166,2022-11-13 13:04:46,381,4,2022-10-22,1,68,2023-01-15,1,2022-11-27 13:04:46,Profile value updated from 'Photography' to 'Running' for role alignment.,5,104,993,7,19,0,0,0,0
69,1,51,Running,Cycling,2023-06-23 13:04:47,Profile value updated from 'Running' to 'Cycling' for role alignment.,brentpatterson,410,2023-06-23 13:04:47,976,2,2023-06-10,527,69,2023-10-01,0,2023-07-04 13:04:47,Profile value updated from 'Running' to 'Cycling' for role alignment.,10,599,431,10,30,0,0,0,0
70,1,53,PMP,AWS Certified,2023-10-20 13:04:48,Profile value updated from 'PMP' to 'AWS Certified' for role alignment.,jgonzalez,865,2023-10-20 13:04:48,474,2,2023-07-25,939,70,2023-12-17,0,2023-10-30 13:04:48,Profile value updated from 'PMP' to 'AWS Certified' for role alignment.,2,785,181,4,90,0,0,0,0
71,1,54,Cycling,Running,2023-06-26 13:04:48,Profile value updated from 'Cycling' to 'Running' for role alignment.,lindasoto,535,2023-06-26 13:04:48,7,4,2023-06-15,505,71,2023-10-22,0,2023-07-24 13:04:48,Profile value updated from 'Cycling' to 'Running' for role alignment.,3,464,984,10,12,0,0,0,0
72,1,54,AWS Certified,Scrum Master,2023-07-22 13:04:49,Profile value updated from 'AWS Certified' to 'Scrum Master' for role alignment.,martha73,957,2023-07-22 13:04:49,260,1,2023-04-22,399,72,2023-10-15,1,2023-08-16 13:04:49,Profile value updated from 'AWS Certified' to 'Scrum Master' for role alignment.,10,195,799,10,42,0,0,0,0
73,1,54,Python,Java,2023-04-23 13:04:50,Profile value updated from 'Python' to 'Java' for role alignment.,clarkmelanie,324,2023-04-23 13:04:50,348,3,2023-03-17,761,73,2023-10-15,0,2023-04-27 13:04:50,Profile value updated from 'Python' to 'Java' for role alignment.,2,647,559,4,67,0,0,0,0
74,1,55,SQL,Python,2023-06-05 13:04:51,Profile value updated from 'SQL' to 'Python' for role alignment.,larryblake,277,2023-06-05 13:04:51,278,4,2023-04-03,586,74,2023-09-13,0,2023-06-14 13:04:51,Profile value updated from 'SQL' to 'Python' for role alignment.,2,233,479,5,19,0,0,0,0
75,1,56,Cycling,Running,2023-06-20 13:04:52,Profile value updated from 'Cycling' to 'Running' for role alignment.,tylermichael,945,2023-06-20 13:04:52,427,2,2023-03-28,672,75,2023-07-21,1,2023-07-05 13:04:52,Profile value updated from 'Cycling' to 'Running' for role alignment.,2,326,641,2,74,0,0,0,0
76,1,56,PMP,Azure Fundamentals,2023-07-23 13:04:53,Profile value updated from 'PMP' to 'Azure Fundamentals' for role alignment.,thomas59,937,2023-07-23 13:04:53,412,1,2023-07-07,954,76,2023-11-13,1,2023-08-18 13:04:53,Profile value updated from 'PMP' to 'Azure Fundamentals' for role alignment.,1,460,852,4,60,0,0,0,0
77,1,58,Python,Java,2024-01-23 13:04:53,Profile value updated from 'Python' to 'Java' for role alignment.,zmartinez,240,2024-01-23 13:04:53,510,5,2023-11-27,128,77,2024-04-17,0,2024-01-26 13:04:53,Profile value updated from 'Python' to 'Java' for role alignment.,1,701,926,9,82,0,0,0,0
78,1,58,Azure Fundamentals,Scrum Master,2022-12-23 13:04:54,Profile value updated from 'Azure Fundamentals' to 'Scrum Master' for role alignment.,tmurray,716,2022-12-23 13:04:54,237,4,2022-10-19,242,78,2023-02-14,0,2023-01-07 13:04:54,Profile value updated from 'Azure Fundamentals' to 'Scrum Master' for role alignment.,4,91,534,8,60,0,0,0,0
79,1,61,Scrum Master,PMP,2023-12-09 13:04:55,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,alicia79,712,2023-12-09 13:04:55,421,2,2023-09-06,705,79,2024-01-14,1,2023-12-10 13:04:55,Profile value updated from 'Scrum Master' to 'PMP' for role alignment.,4,884,701,4,71,0,0,0,0
80,1,61,Running,Cycling,2023-03-16 13:04:56,Profile value updated from 'Running' to 'Cycling' for role alignment.,davidsmith,174,2023-03-16 13:04:56,3,2,2023-01-19,60,80,2023-05-31,1,2023-03-24 13:04:56,Profile value updated from 'Running' to 'Cycling' for role alignment.,2,250,750,10,41,0,0,0,0
81,1,61,Scrum Master,Azure Fundamentals,2023-06-05 13:04:57,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,paul33,689,2023-06-05 13:04:57,666,3,2023-04-19,374,81,2023-08-16,0,2023-06-14 13:04:57,Profile value updated from 'Scrum Master' to 'Azure Fundamentals' for role alignment.,2,538,31,9,70,0,0,0,0
