EmployeeID,CompanyName,Industry,EffectiveFrom,EffectiveTo,PositionTitle,Department,FTE,ManagerID
E00005,Nordlys Havforskning AS,Marine Biotechnology,1991-07-02,1991-11-28,Research Assistant - Marine Chemistry,Research & Development (R&D),80,E00012
E00002,Nordlys Havforskning AS,Marine Biotechnology,1988-06-10,1991-02-10,Research Assistant - Marine Biology,R&D,80,R00025
E00002,Nordlys Havforskning AS,Marine Biotechnology,1991-02-11,1992-08-11,Laboratory Technician - Algae Culturing,R&D,80,E00025
E00002,Nordlys Havforskning AS,Marine Biotechnology,1992-08-12,1995-08-12,Research Assistant - Marine Chemistry,R&D,80,E00012
E00002,Nordlys Havforskning AS,Marine Biotechnology,1995-08-13,1998-06-10,Laboratory Technician - Algae Cultivation,R&D,80,E00025
E00014,Nordlys Havforskning AS,Marine Biotechnology,1985-04-10,1987-11-10,Laboratory Technician - Algae Cultivation,Research & Development (R&D),80,E00005
E00014,Nordlys Havforskning AS,Marine Biotechnology,1987-11-11,1988-11-11,Research Assistant - Marine Chemistry,Research & Development (R&D),80,E00012
E00014,Nordlys Havforskning AS,Marine Biotechnology,1988-11-12,1990-08-12,Laboratory Technician - Algae Culturing,Research & Development (R&D),80,E00012
E00014,Nordlys Havforskning AS,Marine Biotechnology,1990-08-13,1992-03-13,Research Assistant - Marine Biochemistry,Research & Development (R&D),80,E00025
E00014,Nordlys Havforskning AS,Marine Biotechnology,1992-03-14,1993-05-14,Laboratory Technician - Algae Culturing,Research & Development (R&D),80,E00012
E00014,Nordlys Havforskning AS,Marine Biotechnology,1993-05-15,1994-07-15,Research Assistant - Marine Chemistry,Research & Development (R&D),80,E00012
E00014,Nordlys Havforskning AS,Marine Biotechnology,1994-07-16,1995-04-10,Laboratory Technician - Algae Culturing,Research & Development (R&D),80,E00012
